,sPerson,Product_Salud,predicted_Product_Salud,probability_Product_Salud_0.0,probability_Product_Salud_1.0,Product_Salud,predicted_Product_Salud,probability_Product_Salud_0.0,probability_Product_Salud_1.0,Product_Salud,predicted_Product_Salud,probability_Product_Salud_0.0,probability_Product_Salud_1.0,Product_Salud,predicted_Product_Salud,probability_Product_Salud_0.0,probability_Product_Salud_1.0
0,10129,0.0,0.0,0.9999758597558062,2.41402441938512e-05,0.0,0.0,0.9998864670983733,0.0001135329016267,0.0,0.0,0.9994885112874956,0.0005114887125044,0.0,0.0,0.9858466262624704,0.0141533737375296
1,10130,0.0,1.0,0.1106732708942241,0.8893267291057758,0.0,0.0,0.7209835152820765,0.2790164847179235,0.0,1.0,0.1926025117522202,0.8073974882477798,0.0,1.0,0.4757478843698586,0.5242521156301414
2,10159,0.0,0.0,0.9999782325905744,2.1767409425549467e-05,0.0,0.0,0.9880881681860306,0.0119118318139694,0.0,0.0,0.951535975511858,0.048464024488142,0.0,1.0,0.2007265451580461,0.7992734548419539
3,10200,0.0,0.0,0.99996402919023,3.597080977017103e-05,0.0,0.0,0.9904413830503154,0.0095586169496845,0.0,0.0,0.9998701795863318,0.0001298204136681,0.0,0.0,0.92079900386634,0.07920099613366
4,10209,0.0,0.0,0.9999778142627904,2.218573720966805e-05,0.0,0.0,0.999810646311121,0.0001893536888789,0.0,0.0,0.9914177516054786,0.0085822483945213,0.0,0.0,0.9206910334527534,0.0793089665472465
5,10214,0.0,0.0,0.9999757609405286,2.4239059471369245e-05,0.0,0.0,0.9968970041644194,0.0031029958355805,0.0,0.0,0.9998326429224188,0.0001673570775812,0.0,0.0,0.5666482591359161,0.4333517408640839
6,10228,0.0,0.0,0.9993784405571792,0.0006215594428208,0.0,0.0,0.9974451598207936,0.0025548401792064,0.0,0.0,0.9998090368515368,0.0001909631484631,0.0,0.0,0.9877417280007408,0.0122582719992593
7,10274,0.0,0.0,0.9999726820380876,2.7317961912329187e-05,1.0,1.0,0.0327997084178388,0.9672002915821613,0.0,0.0,0.9997996015711756,0.0002003984288244,0.0,0.0,0.8810984920036158,0.1189015079963842
8,10315,0.0,0.0,0.9999816067840346,1.8393215965439825e-05,0.0,1.0,0.3660262118411895,0.6339737881588104,0.0,0.0,0.9998443356510656,0.0001556643489344,0.0,1.0,0.4847683770316947,0.5152316229683053
9,10316,0.0,0.0,0.9999824166786072,1.7583321392648017e-05,0.0,0.0,0.6306443466479967,0.3693556533520033,0.0,0.0,0.9995371252354948,0.0004628747645053,1.0,1.0,0.2975653900196815,0.7024346099803185
10,10320,0.0,0.0,0.9999820173958336,1.7982604166413704e-05,0.0,0.0,0.9988507745002706,0.0011492254997294,0.0,0.0,0.9995528256061595,0.0004471743938402,0.0,0.0,0.6349197809914426,0.3650802190085574
11,10323,0.0,0.0,0.9999758505271098,2.4149472890221964e-05,0.0,0.0,0.999892649542486,0.0001073504575138,0.0,0.0,0.9999406894260844,5.9310573915683227e-05,0.0,0.0,0.9900478257742962,0.0099521742257038
12,10392,0.0,1.0,0.1106732708942241,0.8893267291057758,0.0,0.0,0.7209835152820765,0.2790164847179235,0.0,1.0,0.1926025117522202,0.8073974882477798,0.0,1.0,0.4757478843698586,0.5242521156301414
13,10414,0.0,0.0,0.99997963238345,2.036761655009293e-05,0.0,0.0,0.9842109509446716,0.0157890490553284,0.0,0.0,0.999843784914849,0.0001562150851509,1.0,1.0,0.1492397793883378,0.8507602206116621
14,10415,0.0,0.0,0.9999785131876532,2.148681234688369e-05,0.0,0.0,0.9980936237198732,0.0019063762801267,0.0,0.0,0.9998680942602324,0.0001319057397676,1.0,1.0,0.2065564915078044,0.7934435084921956
15,10461,0.0,1.0,0.1106732708942241,0.8893267291057758,0.0,0.0,0.7209835152820765,0.2790164847179235,0.0,1.0,0.1926025117522202,0.8073974882477798,0.0,1.0,0.4757478843698586,0.5242521156301414
16,10481,0.0,0.0,0.999977988102668,2.2011897331934333e-05,0.0,0.0,0.9994442666416596,0.0005557333583405,0.0,0.0,0.999948374175785,5.162582421501831e-05,0.0,0.0,0.9884806870147536,0.0115193129852464
17,10492,0.0,0.0,0.9999797194175826,2.028058241739706e-05,0.0,0.0,0.9969164275278678,0.0030835724721321,0.0,0.0,0.9999410058208288,5.8994179171304486e-05,1.0,1.0,0.1111043370508064,0.8888956629491935
18,10496,0.0,0.0,0.9999817121744824,1.828782551771638e-05,0.0,0.0,0.9963050887858984,0.0036949112141016,0.0,0.0,0.9998839794736644,0.0001160205263356,1.0,1.0,0.1423484771496018,0.8576515228503981
