date,order_id,prod_billing,quantity,origin,product_name
2023-04-22,146,18.24750365406033,3,app_mobile,Sizzling Fajitas
2023-04-18,220,15.023521585455534,2,store,Chicken Caesar Wrap
2023-04-23,232,14.12533629568023,3,web,Pasta Carbonara
2023-04-22,120,37.28581679697454,2,store,Crispy Tofu Bowl
2023-04-21,44,10.029321275456525,2,store,Sizzling Fajitas
2023-04-22,129,4.779443388012089,3,store,Sushi Platter
2023-04-18,214,44.6406240589568,2,web,Cheeseburger
2023-04-22,358,15.123480951548034,3,app_mobile,Spinach and Ricotta Ravioli
2023-04-20,268,14.100599983152895,1,store,Beef Stroganoff
2023-04-23,310,44.21500429221281,2,store,Grilled Salmon
2023-04-18,381,40.87159873924895,5,store,Taco Salad
2023-04-21,41,7.708546282132961,1,store,Pad Thai
2023-04-18,270,18.897335532001776,4,web,Cheeseburger
2023-04-17,338,37.97483207807839,2,web,Taco Salad
2023-04-19,337,27.027129579525102,5,app_mobile,Beef Tacos
2023-04-22,237,24.033140966075308,5,web,Pasta Carbonara
2023-04-22,99,25.775728535035732,5,app_mobile,Chicken Caesar Wrap
2023-04-20,175,2.661347129169443,4,store,Crispy Calamari
2023-04-21,148,14.783786102778357,4,app_mobile,Shrimp Scampi
2023-04-21,149,33.13644170809819,3,web,Taco Salad
2023-04-17,185,13.567780472199292,2,app_mobile,Pizza Margherita
2023-04-21,305,12.058442967068995,5,store,Pad Thai
2023-04-22,61,11.846413382991852,2,web,Pizza Margherita
2023-04-18,204,27.87026804443804,1,web,Garlic Bread
2023-04-22,117,33.82516388958199,3,store,Crispy Calamari
2023-04-17,119,26.339059798079006,2,store,Miso Ramen
2023-04-17,169,29.14302767640888,1,store,Shrimp Scampi
2023-04-19,113,44.354565651025894,5,store,Grilled Salmon
2023-04-19,68,28.760270168192804,5,web,Crispy Calamari
2023-04-21,320,47.85477564472731,3,web,Fish and Chips
2023-04-22,48,38.532953795671666,3,web,Sizzling Fajitas
2023-04-19,200,6.3560717467396595,4,app_mobile,French Onion Soup
2023-04-20,231,16.81975677425669,2,app_mobile,Grilled Salmon
2023-04-23,344,17.283324918111056,4,web,Chicken Caesar Wrap
2023-04-23,268,29.047882099787135,1,app_mobile,Seafood Paella
2023-04-17,86,17.64315735503621,3,store,Crispy Tofu Bowl
2023-04-22,43,40.49928687877624,3,app_mobile,Sizzling Fajitas
2023-04-23,51,12.517064920855507,5,app_mobile,Crispy Calamari
2023-04-22,267,5.8638849368479855,5,app_mobile,Beef Stroganoff
2023-04-18,215,14.731287375785959,5,store,Crab Cakes
2023-04-20,217,29.210692539502,3,app_mobile,Crab Cakes
2023-04-20,303,9.977343479093406,3,app_mobile,Cobb Salad
2023-04-17,365,42.6090208515684,5,store,Chicken Teriyaki
2023-04-22,7,48.84231793912416,5,store,Chicken Teriyaki
2023-04-17,115,28.16022680402912,5,web,Lobster Bisque
2023-04-20,302,47.74049762424563,1,web,Philly Cheesesteak
2023-04-21,185,36.32415794403899,2,store,French Onion Soup
2023-04-23,12,49.898658402373655,5,store,Chicken Katsu Curry
2023-04-21,190,22.240542266298384,4,store,Caesar Salad
2023-04-20,150,6.843607904018207,2,store,Caesar Salad
2023-04-21,155,4.1494714890809075,3,store,Sushi Platter
2023-04-17,359,31.699043315292133,5,app_mobile,Spinach and Ricotta Ravioli
2023-04-18,364,2.1394883847326556,4,store,Lobster Bisque
2023-04-22,190,24.132078338741337,3,app_mobile,Spicy Tuna Roll
2023-04-18,294,22.91036568547201,2,app_mobile,Garlic Bread
2023-04-21,18,47.21059320281874,3,web,Chicken Caesar Wrap
2023-04-19,329,44.99022065899867,3,app_mobile,Chicken Caesar Wrap
2023-04-18,3,10.117733212888623,5,app_mobile,Fried Chicken
2023-04-19,186,27.63048213770004,5,store,Pad Thai
2023-04-17,258,42.658065640948934,4,app_mobile,Philly Cheesesteak
2023-04-19,305,14.252151028609472,4,store,French Onion Soup
2023-04-21,97,40.314300837005284,5,store,Miso Ramen
2023-04-23,30,29.471448019637787,4,web,Chicken Caesar Wrap
2023-04-20,129,43.21812830255496,2,web,Fried Chicken
2023-04-18,266,25.690238055537062,5,web,Pad Thai
2023-04-22,204,18.99042527025124,4,store,Cobb Salad
2023-04-21,92,18.583904972105312,3,web,Philly Cheesesteak
2023-04-17,287,41.8064292637256,2,store,Beef Stroganoff
2023-04-20,118,6.9645366205854495,5,app_mobile,Caesar Salad
2023-04-20,145,31.756202529982236,3,app_mobile,Grilled Salmon
